Week Starting,Company,State,City,Users,Transactions,Dollars,ASP,,,
7/14/14,Yellow Cab,AZ,TUCSON AZ, 51 , 105 ," 1,459 ", 13.89 ,,,
7/14/14,Yellow Cab,DC,WASHINGTON DC," 2,067 "," 5,024 "," 71,264 ", 14.18 ,,,
7/21/14,Pink Cab,GA,ATLANTA GA, 147 , 213 ," 2,724 ", 12.79 ,,,
7/21/14,Pink Cab,TX,AUSTIN TX, 102 , 225 ," 2,973 ", 13.21 ,,,
7/21/14,Pink Cab,MA,BOSTON MA, 249 , 474 ," 5,310 ", 11.20 ,,,
7/21/14,Pink Cab,IL,CHICAGO IL, 546 ," 1,062 "," 11,634 ", 10.95 ,,,
7/21/14,Pink Cab,TX,DALLAS TX, 99 , 168 ," 1,662 ", 9.89 ,,,
7/21/14,Pink Cab,CO,DENVER CO, 90 , 162 ," 2,325 ", 14.35 ,,,
7/21/14,Pink Cab,CA,LOS ANGELES CA," 1,275 "," 2,733 "," 32,619 ", 11.94 ,,,
7/21/14,Pink Cab,FL,MIAMI FL, 102 , 228 ," 2,604 ", 11.42 ,,,
7/21/14,Pink Cab,TN,NASHVILLE TN, 102 , 201 ," 2,319 ", 11.54 ,,,
7/21/14,Pink Cab,NY,NEW YORK NY, 666 ," 1,284 "," 17,400 ", 13.55 ,,,
7/21/14,Pink Cab,CA,ORANGE COUNTY, 72 , 147 ," 1,626 ", 11.06 ,,,
7/21/14,Pink Cab,AZ,PHOENIX AZ, 66 , 93 ," 1,236 ", 13.29 ,,,
7/21/14,Pink Cab,PA,PITTSBURGH PA, 63 , 102 ," 1,632 ", 16.00 ,,,
7/21/14,Pink Cab,CA,SACRAMENTO CA, 78 , 126 ," 1,536 ", 12.19 ,,,
7/21/14,Pink Cab,CA,SAN DIEGO CA, 861 ," 1,746 "," 21,432 ", 12.27 ,,,
7/21/14,Pink Cab,CA,SAN FRANCISCO CA," 2,037 "," 4,584 "," 53,220 ", 11.61 ,,,
7/21/14,Pink Cab,WA,SEATTLE WA, 138 , 258 ," 2,778 ", 10.77 ,,,
7/21/14,Pink Cab,CA,SILICON VALLEY, 237 , 447 ," 6,108 ", 13.66 ,,,
7/21/14,Pink Cab,Total US,Total US," 11,511 "," 22,968 "," 283,917 ", 12.36 ,,,
7/21/14,Pink Cab,AZ,TUCSON AZ, 69 , 126 ," 1,533 ", 12.17 ,,,
7/21/14,Pink Cab,DC,WASHINGTON DC, 207 , 339 ," 4,323 ", 12.75 ,,,
7/21/14,Yellow Cab,GA,ATLANTA GA, 362 , 755 ," 13,228 ", 17.52 ,,,
7/21/14,Yellow Cab,TX,AUSTIN TX, 148 , 342 ," 5,722 ", 16.73 ,,,
7/21/14,Yellow Cab,MA,BOSTON MA," 1,141 "," 2,843 "," 36,105 ", 12.70 ,,,
7/21/14,Yellow Cab,IL,CHICAGO IL," 2,520 "," 6,110 "," 83,334 ", 13.64 ,,,
7/21/14,Yellow Cab,TX,DALLAS TX, 323 , 620 ," 11,927 ", 19.24 ,,,
7/21/14,Yellow Cab,CO,DENVER CO, 125 , 249 ," 3,987 ", 16.01 ,,,
7/21/14,Yellow Cab,CA,LOS ANGELES CA," 1,587 "," 3,838 "," 57,003 ", 14.85 ,,,
7/21/14,Yellow Cab,FL,MIAMI FL, 207 , 453 ," 7,964 ", 17.58 ,,,
7/21/14,Yellow Cab,TN,NASHVILLE TN, 64 , 121 ," 1,605 ", 13.26 ,,,
7/21/14,Yellow Cab,NY,NEW YORK NY," 4,528 "," 10,006 "," 238,970 ", 23.88 ,,,
7/21/14,Yellow Cab,CA,ORANGE COUNTY, 150 , 321 ," 5,021 ", 15.64 ,,,
7/21/14,Yellow Cab,AZ,PHOENIX AZ, 73 , 159 ," 2,953 ", 18.57 ,,,
7/21/14,Yellow Cab,PA,PITTSBURGH PA, 27 , 50 , 808 , 16.17 ,,,
7/21/14,Yellow Cab,CA,SACRAMENTO CA, 50 , 115 ," 1,804 ", 15.68 ,,,
7/21/14,Yellow Cab,CA,SAN DIEGO CA, 687 ," 1,437 "," 21,537 ", 14.99 ,,,
7/21/14,Yellow Cab,CA,SAN FRANCISCO CA," 2,081 "," 5,989 "," 80,668 ", 13.47 ,,,
7/21/14,Yellow Cab,WA,SEATTLE WA, 310 , 695 ," 10,536 ", 15.16 ,,,
7/21/14,Yellow Cab,CA,SILICON VALLEY, 290 , 614 ," 11,202 ", 18.24 ,,,
7/21/14,Yellow Cab,Total US,Total US," 26,115 "," 59,738 "," 996,531 ", 16.68 ,,,
7/21/14,Yellow Cab,AZ,TUCSON AZ, 63 , 132 ," 1,881 ", 14.25 ,,,
7/21/14,Yellow Cab,DC,WASHINGTON DC," 2,043 "," 4,941 "," 68,145 ", 13.79 ,,,
7/28/14,Pink Cab,GA,ATLANTA GA, 120 , 198 ," 2,196 ", 11.09 ,,,
7/28/14,Pink Cab,TX,AUSTIN TX, 120 , 267 ," 3,405 ", 12.75 ,,,
7/28/14,Pink Cab,MA,BOSTON MA, 252 , 522 ," 6,495 ", 12.44 ,,,
7/28/14,Pink Cab,IL,CHICAGO IL, 552 ," 1,095 "," 12,609 ", 11.52 ,,,
7/28/14,Pink Cab,TX,DALLAS TX, 108 , 183 ," 1,866 ", 10.20 ,,,
7/28/14,Pink Cab,CO,DENVER CO, 87 , 204 ," 1,896 ", 9.29 ,,,
7/28/14,Pink Cab,CA,LOS ANGELES CA," 1,227 "," 2,445 "," 28,302 ", 11.58 ,,,
7/28/14,Pink Cab,FL,MIAMI FL, 123 , 294 ," 3,867 ", 13.15 ,,,
7/28/14,Pink Cab,TN,NASHVILLE TN, 111 , 234 ," 2,532 ", 10.82 ,,,
7/28/14,Pink Cab,NY,NEW YORK NY, 819 ," 1,578 "," 20,331 ", 12.88 ,,,
7/28/14,Pink Cab,CA,ORANGE COUNTY, 93 , 135 ," 1,827 ", 13.53 ,,,
7/28/14,Pink Cab,AZ,PHOENIX AZ, 45 , 81 , 900 , 11.11 ,,,
7/28/14,Pink Cab,PA,PITTSBURGH PA, 54 , 117 ," 1,335 ", 11.41 ,,,
7/28/14,Pink Cab,CA,SACRAMENTO CA, 69 , 141 ," 1,626 ", 11.53 ,,,
7/28/14,Pink Cab,CA,SAN DIEGO CA, 849 ," 1,599 "," 20,115 ", 12.58 ,,,
7/28/14,Pink Cab,CA,SAN FRANCISCO CA," 2,052 "," 4,500 "," 53,496 ", 11.89 ,,,
7/28/14,Pink Cab,WA,SEATTLE WA, 153 , 267 ," 3,042 ", 11.39 ,,,
7/28/14,Pink Cab,CA,SILICON VALLEY, 279 , 558 ," 7,323 ", 13.12 ,,,
7/28/14,Pink Cab,Total US,Total US," 11,904 "," 23,406 "," 287,850 ", 12.30 ,,,
7/28/14,Pink Cab,AZ,TUCSON AZ, 87 , 147 ," 2,433 ", 16.55 ,,,
7/28/14,Pink Cab,DC,WASHINGTON DC, 195 , 324 ," 3,849 ", 11.88 ,,,
7/28/14,Yellow Cab,GA,ATLANTA GA, 345 , 739 ," 12,460 ", 16.86 ,,,
7/28/14,Yellow Cab,TX,AUSTIN TX, 158 , 347 ," 5,488 ", 15.82 ,,,
7/28/14,Yellow Cab,MA,BOSTON MA," 1,181 "," 3,008 "," 39,358 ", 13.08 ,,,
7/28/14,Yellow Cab,IL,CHICAGO IL," 2,589 "," 6,233 "," 85,623 ", 13.74 ,,,
7/28/14,Yellow Cab,TX,DALLAS TX, 310 , 625 ," 11,793 ", 18.87 ,,,
7/28/14,Yellow Cab,CO,DENVER CO, 161 , 318 ," 5,376 ", 16.91 ,,,
7/28/14,Yellow Cab,CA,LOS ANGELES CA," 1,601 "," 3,794 "," 56,206 ", 14.81 ,,,
7/28/14,Yellow Cab,FL,MIAMI FL, 184 , 406 ," 7,195 ", 17.72 ,,,
7/28/14,Yellow Cab,TN,NASHVILLE TN, 57 , 125 ," 1,751 ", 14.01 ,,,
7/28/14,Yellow Cab,NY,NEW YORK NY," 4,682 "," 10,357 "," 242,718 ", 23.44 ,,,
7/28/14,Yellow Cab,CA,ORANGE COUNTY, 154 , 364 ," 5,865 ", 16.11 ,,,
7/28/14,Yellow Cab,AZ,PHOENIX AZ, 66 , 162 ," 2,757 ", 17.02 ,,,
7/28/14,Yellow Cab,PA,PITTSBURGH PA, 36 , 66 , 946 , 14.33 ,,,
7/28/14,Yellow Cab,CA,SACRAMENTO CA, 50 , 106 ," 1,451 ", 13.69 ,,,
7/28/14,Yellow Cab,CA,SAN DIEGO CA, 701 ," 1,356 "," 21,344 ", 15.74 ,,,
7/28/14,Yellow Cab,CA,SAN FRANCISCO CA," 2,055 "," 5,835 "," 84,000 ", 14.40 ,,,
7/28/14,Yellow Cab,WA,SEATTLE WA, 318 , 657 ," 10,394 ", 15.82 ,,,
7/28/14,Yellow Cab,CA,SILICON VALLEY, 292 , 662 ," 10,827 ", 16.36 ,,,
7/28/14,Yellow Cab,Total US,Total US," 26,845 "," 61,073 "," 1,022,434 ", 16.74 ,,,
7/28/14,Yellow Cab,AZ,TUCSON AZ, 59 , 117 ," 1,928 ", 16.48 ,,,
7/28/14,Yellow Cab,DC,WASHINGTON DC," 2,196 "," 5,319 "," 72,670 ", 13.66 ,,,
8/4/14,Pink Cab,GA,ATLANTA GA, 117 , 228 ," 2,799 ", 12.28 ,,,
8/4/14,Pink Cab,TX,AUSTIN TX, 195 , 360 ," 4,149 ", 11.53 ,,,
8/4/14,Pink Cab,MA,BOSTON MA, 258 , 465 ," 5,427 ", 11.67 ,,,
8/4/14,Pink Cab,IL,CHICAGO IL, 477 , 813 ," 10,278 ", 12.64 ,,,
8/4/14,Pink Cab,TX,DALLAS TX, 81 , 129 ," 1,422 ", 11.02 ,,,
8/4/14,Pink Cab,CO,DENVER CO, 93 , 177 ," 1,734 ", 9.80 ,,,
8/4/14,Pink Cab,CA,LOS ANGELES CA," 1,287 "," 2,478 "," 30,351 ", 12.25 ,,,
8/4/14,Pink Cab,FL,MIAMI FL, 132 , 339 ," 4,191 ", 12.36 ,,,
8/4/14,Pink Cab,TN,NASHVILLE TN, 129 , 231 ," 2,844 ", 12.31 ,,,
8/4/14,Pink Cab,NY,NEW YORK NY, 942 ," 1,848 "," 21,507 ", 11.64 ,,,
8/4/14,Pink Cab,CA,ORANGE COUNTY, 102 , 159 ," 2,277 ", 14.32 ,,,
8/4/14,Pink Cab,AZ,PHOENIX AZ, 51 , 129 ," 1,572 ", 12.19 ,,,
8/4/14,Pink Cab,PA,PITTSBURGH PA, 39 , 66 , 675 , 10.23 ,,,
8/4/14,Pink Cab,CA,SACRAMENTO CA, 90 , 177 ," 2,322 ", 13.12 ,,,
8/4/14,Pink Cab,CA,SAN DIEGO CA, 873 ," 1,596 "," 20,640 ", 12.93 ,,,
8/4/14,Pink Cab,CA,SAN FRANCISCO CA," 1,932 "," 4,272 "," 48,186 ", 11.28 ,,,
8/4/14,Pink Cab,WA,SEATTLE WA, 129 , 237 ," 2,961 ", 12.49 ,,,
8/4/14,Pink Cab,CA,SILICON VALLEY, 258 , 525 ," 7,488 ", 14.26 ,,,
8/4/14,Pink Cab,Total US,Total US," 12,297 "," 24,240 "," 302,244 ", 12.47 ,,,
8/4/14,Pink Cab,AZ,TUCSON AZ, 42 , 75 , 837 , 11.16 ,,,
8/4/14,Pink Cab,DC,WASHINGTON DC, 213 , 345 ," 4,143 ", 12.01 ,,,
8/4/14,Yellow Cab,GA,ATLANTA GA, 373 , 862 ," 13,472 ", 15.63 ,,,
8/4/14,Yellow Cab,TX,AUSTIN TX, 190 , 430 ," 6,843 ", 15.91 ,,,
8/4/14,Yellow Cab,MA,BOSTON MA," 1,171 "," 2,944 "," 37,198 ", 12.64 ,,,
8/4/14,Yellow Cab,IL,CHICAGO IL," 2,601 "," 6,307 "," 82,350 ", 13.06 ,,,
8/4/14,Yellow Cab,TX,DALLAS TX, 349 , 701 ," 13,335 ", 19.02 ,,,
8/4/14,Yellow Cab,CO,DENVER CO, 175 , 356 ," 5,624 ", 15.80 ,,,
8/4/14,Yellow Cab,CA,LOS ANGELES CA," 1,659 "," 3,988 "," 61,715 ", 15.48 ,,,
8/4/14,Yellow Cab,FL,MIAMI FL, 214 , 509 ," 8,710 ", 17.11 ,,,
8/4/14,Yellow Cab,TN,NASHVILLE TN, 60 , 131 ," 2,039 ", 15.56 ,,,
8/4/14,Yellow Cab,NY,NEW YORK NY," 4,809 "," 10,786 "," 246,295 ", 22.83 ,,,
8/4/14,Yellow Cab,CA,ORANGE COUNTY, 168 , 328 ," 6,376 ", 19.44 ,,,
8/4/14,Yellow Cab,AZ,PHOENIX AZ, 73 , 150 ," 2,690 ", 17.93 ,,,
8/4/14,Yellow Cab,PA,PITTSBURGH PA, 40 , 87 ," 1,999 ", 22.98 ,,,
8/4/14,Yellow Cab,CA,SACRAMENTO CA, 50 , 106 ," 1,470 ", 13.87 ,,,
8/4/14,Yellow Cab,CA,SAN DIEGO CA, 677 ," 1,383 "," 20,559 ", 14.87 ,,,
8/4/14,Yellow Cab,CA,SAN FRANCISCO CA," 2,130 "," 5,973 "," 84,246 ", 14.10 ,,,
8/4/14,Yellow Cab,WA,SEATTLE WA, 329 , 714 ," 10,191 ", 14.27 ,,,
8/4/14,Yellow Cab,CA,SILICON VALLEY, 334 , 761 ," 14,348 ", 18.85 ,,,
8/4/14,Yellow Cab,Total US,Total US," 27,670 "," 63,464 "," 1,053,218 ", 16.60 ,,,
8/4/14,Yellow Cab,AZ,TUCSON AZ, 58 , 127 ," 1,845 ", 14.53 ,,,
8/4/14,Yellow Cab,DC,WASHINGTON DC," 2,084 "," 5,120 "," 68,480 ", 13.37 ,,,
8/11/14,Pink Cab,GA,ATLANTA GA, 162 , 261 ," 3,525 ", 13.51 ,,,
8/11/14,Pink Cab,TX,AUSTIN TX, 195 , 354 ," 4,353 ", 12.30 ,,,
8/11/14,Pink Cab,MA,BOSTON MA, 309 , 552 ," 6,705 ", 12.15 ,,,
8/11/14,Pink Cab,IL,CHICAGO IL, 588 ," 1,260 "," 12,765 ", 10.13 ,,,
8/11/14,Pink Cab,TX,DALLAS TX, 93 , 195 ," 2,037 ", 10.45 ,,,
8/11/14,Pink Cab,CO,DENVER CO, 102 , 159 ," 1,638 ", 10.30 ,,,
8/11/14,Pink Cab,CA,LOS ANGELES CA," 1,440 "," 3,144 "," 39,696 ", 12.63 ,,,
8/11/14,Pink Cab,FL,MIAMI FL, 153 , 417 ," 5,283 ", 12.67 ,,,
8/11/14,Pink Cab,TN,NASHVILLE TN, 144 , 237 ," 2,736 ", 11.54 ,,,
8/11/14,Pink Cab,NY,NEW YORK NY," 1,335 "," 2,853 "," 38,430 ", 13.47 ,,,
8/11/14,Pink Cab,CA,ORANGE COUNTY, 147 , 267 ," 4,299 ", 16.10 ,,,
8/11/14,Pink Cab,AZ,PHOENIX AZ, 42 , 69 , 996 , 14.43 ,,,
8/11/14,Pink Cab,PA,PITTSBURGH PA, 48 , 78 , 891 , 11.42 ,,,
8/11/14,Pink Cab,CA,SACRAMENTO CA, 111 , 213 ," 2,544 ", 11.94 ,,,
8/11/14,Pink Cab,CA,SAN DIEGO CA, 855 ," 1,635 "," 20,064 ", 12.27 ,,,
8/11/14,Pink Cab,CA,SAN FRANCISCO CA," 2,175 "," 5,103 "," 61,542 ", 12.06 ,,,
8/11/14,Pink Cab,WA,SEATTLE WA, 147 , 312 ," 3,447 ", 11.05 ,,,
8/11/14,Pink Cab,CA,SILICON VALLEY, 252 , 561 ," 6,888 ", 12.28 ,,,
8/11/14,Pink Cab,Total US,Total US," 13,686 "," 28,038 "," 348,876 ", 12.44 ,,,
8/11/14,Pink Cab,AZ,TUCSON AZ, 33 , 45 , 495 , 11.00 ,,,
8/11/14,Pink Cab,DC,WASHINGTON DC, 258 , 477 ," 5,481 ", 11.49 ,,,
8/11/14,Yellow Cab,GA,ATLANTA GA, 351 , 774 ," 12,014 ", 15.52 ,,,
8/11/14,Yellow Cab,TX,AUSTIN TX, 178 , 371 ," 5,712 ", 15.40 ,,,
8/11/14,Yellow Cab,MA,BOSTON MA," 1,238 "," 3,095 "," 42,130 ", 13.61 ,,,
8/11/14,Yellow Cab,IL,CHICAGO IL," 2,704 "," 6,707 "," 86,755 ", 12.94 ,,,
8/11/14,Yellow Cab,TX,DALLAS TX, 345 , 703 ," 14,377 ", 20.45 ,,,
8/11/14,Yellow Cab,CO,DENVER CO, 162 , 320 ," 5,944 ", 18.58 ,,,
8/11/14,Yellow Cab,CA,LOS ANGELES CA," 1,683 "," 4,198 "," 63,110 ", 15.03 ,,,
8/11/14,Yellow Cab,FL,MIAMI FL, 216 , 481 ," 8,291 ", 17.24 ,,,
8/11/14,Yellow Cab,TN,NASHVILLE TN, 78 , 137 ," 1,838 ", 13.42 ,,,
8/11/14,Yellow Cab,NY,NEW YORK NY," 4,833 "," 10,868 "," 247,540 ", 22.78 ,,,
8/11/14,Yellow Cab,CA,ORANGE COUNTY, 169 , 359 ," 6,481 ", 18.05 ,,,
8/11/14,Yellow Cab,AZ,PHOENIX AZ, 72 , 136 ," 2,181 ", 16.04 ,,,
8/11/14,Yellow Cab,PA,PITTSBURGH PA, 39 , 92 ," 1,460 ", 15.87 ,,,
8/11/14,Yellow Cab,CA,SACRAMENTO CA, 56 , 115 ," 1,647 ", 14.32 ,,,
8/11/14,Yellow Cab,CA,SAN DIEGO CA, 698 ," 1,439 "," 23,809 ", 16.55 ,,,
8/11/14,Yellow Cab,CA,SAN FRANCISCO CA," 2,059 "," 5,763 "," 85,790 ", 14.89 ,,,
8/11/14,Yellow Cab,WA,SEATTLE WA, 350 , 733 ," 12,070 ", 16.47 ,,,
8/11/14,Yellow Cab,CA,SILICON VALLEY, 297 , 678 ," 13,551 ", 19.99 ,,,
8/11/14,Yellow Cab,Total US,Total US," 28,128 "," 64,109 "," 1,068,330 ", 16.66 ,,,
8/11/14,Yellow Cab,AZ,TUCSON AZ, 59 , 130 ," 1,768 ", 13.60 ,,,
8/11/14,Yellow Cab,DC,WASHINGTON DC," 2,179 "," 5,227 "," 69,272 ", 13.25 ,,,
8/18/14,Pink Cab,GA,ATLANTA GA, 138 , 231 ," 3,462 ", 14.99 ,,,
8/18/14,Pink Cab,TX,AUSTIN TX, 174 , 330 ," 3,852 ", 11.67 ,,,
8/18/14,Pink Cab,MA,BOSTON MA, 243 , 477 ," 4,956 ", 10.39 ,,,
8/18/14,Pink Cab,IL,CHICAGO IL, 606 ," 1,248 "," 12,645 ", 10.13 ,,,
8/18/14,Pink Cab,TX,DALLAS TX, 102 , 147 ," 1,635 ", 11.12 ,,,
8/18/14,Pink Cab,CO,DENVER CO, 99 , 162 ," 1,782 ", 11.00 ,,,
8/18/14,Pink Cab,CA,LOS ANGELES CA," 1,359 "," 2,679 "," 33,504 ", 12.51 ,,,
8/18/14,Pink Cab,FL,MIAMI FL, 135 , 339 ," 3,888 ", 11.47 ,,,
8/18/14,Pink Cab,TN,NASHVILLE TN, 153 , 285 ," 3,306 ", 11.60 ,,,
8/18/14,Pink Cab,NY,NEW YORK NY," 1,128 "," 2,436 "," 31,998 ", 13.14 ,,,
8/18/14,Pink Cab,CA,ORANGE COUNTY, 114 , 168 ," 2,421 ", 14.41 ,,,
8/18/14,Pink Cab,AZ,PHOENIX AZ, 54 , 75 , 852 , 11.36 ,,,
8/18/14,Pink Cab,PA,PITTSBURGH PA, 39 , 66 , 852 , 12.91 ,,,
8/18/14,Pink Cab,CA,SACRAMENTO CA, 111 , 195 ," 2,013 ", 10.32 ,,,
8/18/14,Pink Cab,CA,SAN DIEGO CA, 870 ," 1,596 "," 20,691 ", 12.96 ,,,
8/18/14,Pink Cab,CA,SAN FRANCISCO CA," 1,986 "," 4,479 "," 52,833 ", 11.80 ,,,
8/18/14,Pink Cab,WA,SEATTLE WA, 147 , 261 ," 2,991 ", 11.46 ,,,
8/18/14,Pink Cab,CA,SILICON VALLEY, 285 , 450 ," 6,120 ", 13.60 ,,,
8/18/14,Pink Cab,Total US,Total US," 13,104 "," 26,055 "," 324,375 ", 12.45 ,,,
8/18/14,Pink Cab,AZ,TUCSON AZ, 72 , 114 ," 1,368 ", 12.00 ,,,
8/18/14,Pink Cab,DC,WASHINGTON DC, 240 , 384 ," 4,482 ", 11.67 ,,,
8/18/14,Yellow Cab,GA,ATLANTA GA, 392 , 898 ," 14,328 ", 15.96 ,,,
8/18/14,Yellow Cab,TX,AUSTIN TX, 195 , 472 ," 7,375 ", 15.62 ,,,
8/18/14,Yellow Cab,MA,BOSTON MA," 1,226 "," 3,005 "," 41,515 ", 13.82 ,,,
8/18/14,Yellow Cab,IL,CHICAGO IL," 2,779 "," 6,741 "," 92,815 ", 13.77 ,,,
8/18/14,Yellow Cab,TX,DALLAS TX, 356 , 756 ," 15,005 ", 19.85 ,,,
8/18/14,Yellow Cab,CO,DENVER CO, 161 , 320 ," 5,797 ", 18.12 ,,,
8/18/14,Yellow Cab,CA,LOS ANGELES CA," 1,731 "," 4,226 "," 64,753 ", 15.32 ,,,
8/18/14,Yellow Cab,FL,MIAMI FL, 245 , 543 ," 9,164 ", 16.88 ,,,
8/18/14,Yellow Cab,TN,NASHVILLE TN, 76 , 180 ," 2,337 ", 12.98 ,,,
8/18/14,Yellow Cab,NY,NEW YORK NY," 5,102 "," 11,280 "," 257,610 ", 22.84 ,,,
8/18/14,Yellow Cab,CA,ORANGE COUNTY, 183 , 361 ," 5,625 ", 15.58 ,,,
8/18/14,Yellow Cab,AZ,PHOENIX AZ, 71 , 127 ," 2,029 ", 15.98 ,,,
8/18/14,Yellow Cab,PA,PITTSBURGH PA, 42 , 81 ," 1,123 ", 13.86 ,,,
8/18/14,Yellow Cab,CA,SACRAMENTO CA, 48 , 112 ," 1,361 ", 12.15 ,,,
8/18/14,Yellow Cab,CA,SAN DIEGO CA, 686 ," 1,333 "," 21,312 ", 15.99 ,,,
8/18/14,Yellow Cab,CA,SAN FRANCISCO CA," 2,178 "," 6,029 "," 90,154 ", 14.95 ,,,
8/18/14,Yellow Cab,WA,SEATTLE WA, 348 , 697 ," 11,224 ", 16.10 ,,,
8/18/14,Yellow Cab,CA,SILICON VALLEY, 331 , 708 ," 12,869 ", 18.18 ,,,
8/18/14,Yellow Cab,Total US,Total US," 29,062 "," 65,852 "," 1,111,368 ", 16.88 ,,,
8/18/14,Yellow Cab,AZ,TUCSON AZ, 68 , 150 ," 1,765 ", 11.77 ,,,
8/18/14,Yellow Cab,DC,WASHINGTON DC," 2,210 "," 5,437 "," 77,163 ", 14.19 ,,,
8/25/14,Pink Cab,GA,ATLANTA GA, 156 , 255 ," 2,778 ", 10.89 ,,,
8/25/14,Pink Cab,TX,AUSTIN TX, 207 , 387 ," 5,892 ", 15.22 ,,,
8/25/14,Pink Cab,MA,BOSTON MA, 303 , 612 ," 7,626 ", 12.46 ,,,
8/25/14,Pink Cab,IL,CHICAGO IL, 558 ," 1,191 "," 12,954 ", 10.88 ,,,
8/25/14,Pink Cab,TX,DALLAS TX, 108 , 144 ," 1,341 ", 9.31 ,,,
8/25/14,Pink Cab,CO,DENVER CO, 117 , 174 ," 2,151 ", 12.36 ,,,
8/25/14,Pink Cab,CA,LOS ANGELES CA," 1,575 "," 3,147 "," 37,269 ", 11.84 ,,,
8/25/14,Pink Cab,FL,MIAMI FL, 174 , 378 ," 4,731 ", 12.52 ,,,
8/25/14,Pink Cab,TN,NASHVILLE TN, 159 , 252 ," 2,508 ", 9.95 ,,,
8/25/14,Pink Cab,NY,NEW YORK NY," 1,362 "," 2,688 "," 34,620 ", 12.88 ,,,
8/25/14,Pink Cab,CA,ORANGE COUNTY, 156 , 267 ," 3,462 ", 12.97 ,,,
8/25/14,Pink Cab,AZ,PHOENIX AZ, 69 , 99 ," 1,521 ", 15.36 ,,,
8/25/14,Pink Cab,PA,PITTSBURGH PA, 42 , 66 ," 1,179 ", 17.86 ,,,
8/25/14,Pink Cab,CA,SACRAMENTO CA, 99 , 186 ," 2,103 ", 11.31 ,,,
8/25/14,Pink Cab,CA,SAN DIEGO CA, 924 ," 1,836 "," 22,398 ", 12.20 ,,,
8/25/14,Pink Cab,CA,SAN FRANCISCO CA," 1,992 "," 4,866 "," 55,275 ", 11.36 ,,,
8/25/14,Pink Cab,WA,SEATTLE WA, 237 , 543 ," 5,808 ", 10.70 ,,,
8/25/14,Pink Cab,CA,SILICON VALLEY, 285 , 534 ," 7,017 ", 13.14 ,,,
8/25/14,Pink Cab,Total US,Total US," 14,400 "," 28,509 "," 348,813 ", 12.24 ,,,
8/25/14,Pink Cab,AZ,TUCSON AZ, 78 , 141 ," 1,326 ", 9.40 ,,,
8/25/14,Pink Cab,DC,WASHINGTON DC, 264 , 471 ," 5,616 ", 11.92 ,,,
8/25/14,Yellow Cab,GA,ATLANTA GA, 410 , 860 ," 13,258 ", 15.42 ,,,
8/25/14,Yellow Cab,TX,AUSTIN TX, 224 , 458 ," 7,473 ", 16.32 ,,,
8/25/14,Yellow Cab,MA,BOSTON MA," 1,242 "," 3,143 "," 45,990 ", 14.63 ,,,
8/25/14,Yellow Cab,IL,CHICAGO IL," 2,763 "," 6,706 "," 92,633 ", 13.81 ,,,
8/25/14,Yellow Cab,TX,DALLAS TX, 361 , 770 ," 15,162 ", 19.69 ,,,
8/25/14,Yellow Cab,CO,DENVER CO, 156 , 308 ," 5,649 ", 18.34 ,,,
8/25/14,Yellow Cab,CA,LOS ANGELES CA," 1,793 "," 4,352 "," 65,930 ", 15.15 ,,,
8/25/14,Yellow Cab,FL,MIAMI FL, 293 , 671 ," 14,373 ", 21.42 ,,,
8/25/14,Yellow Cab,TN,NASHVILLE TN, 82 , 190 ," 2,575 ", 13.55 ,,,
8/25/14,Yellow Cab,NY,NEW YORK NY," 5,248 "," 11,397 "," 261,424 ", 22.94 ,,,
8/25/14,Yellow Cab,CA,ORANGE COUNTY, 191 , 369 ," 6,131 ", 16.61 ,,,
8/25/14,Yellow Cab,AZ,PHOENIX AZ, 88 , 164 ," 2,526 ", 15.40 ,,,
8/25/14,Yellow Cab,PA,PITTSBURGH PA, 35 , 64 , 874 , 13.66 ,,,
8/25/14,Yellow Cab,CA,SACRAMENTO CA, 57 , 126 ," 1,553 ", 12.33 ,,,
8/25/14,Yellow Cab,CA,SAN DIEGO CA, 719 ," 1,415 "," 22,559 ", 15.94 ,,,
8/25/14,Yellow Cab,CA,SAN FRANCISCO CA," 2,126 "," 5,874 "," 85,954 ", 14.63 ,,,
8/25/14,Yellow Cab,WA,SEATTLE WA, 322 , 681 ," 11,047 ", 16.22 ,,,
8/25/14,Yellow Cab,CA,SILICON VALLEY, 311 , 655 ," 13,045 ", 19.92 ,,,
8/25/14,Yellow Cab,Total US,Total US," 30,016 "," 67,678 "," 1,156,426 ", 17.09 ,,,
8/25/14,Yellow Cab,AZ,TUCSON AZ, 62 , 148 ," 2,021 ", 13.66 ,,,
8/25/14,Yellow Cab,DC,WASHINGTON DC," 2,308 "," 5,550 "," 79,832 ", 14.38 ,,,
9/1/14,Pink Cab,GA,ATLANTA GA, 189 , 294 ," 3,384 ", 11.51 ,,,
9/1/14,Pink Cab,TX,AUSTIN TX, 213 , 333 ," 4,320 ", 12.97 ,,,
9/1/14,Pink Cab,MA,BOSTON MA, 279 , 546 ," 6,666 ", 12.21 ,,,
9/1/14,Pink Cab,IL,CHICAGO IL, 684 ," 1,428 "," 15,555 ", 10.89 ,,,
9/1/14,Pink Cab,TX,DALLAS TX, 114 , 237 ," 2,046 ", 8.63 ,,,
9/1/14,Pink Cab,CO,DENVER CO, 129 , 252 ," 2,583 ", 10.25 ,,,
9/1/14,Pink Cab,CA,LOS ANGELES CA," 1,530 "," 3,153 "," 37,851 ", 12.00 ,,,
