Week Starting,Company,State,City,Users,Transactions,Dollars,ASP,,,
6/23/14,Pink Cab,NY,NEW YORK NY, 498 ," 1,140 "," 13,092 ", 11.48 ,,,
6/23/14,Pink Cab,CA,ORANGE COUNTY, 75 , 162 ," 1,947 ", 12.02 ,,,
6/23/14,Pink Cab,AZ,PHOENIX AZ, 63 , 150 ," 1,743 ", 11.62 ,,,
6/23/14,Pink Cab,PA,PITTSBURGH PA, 42 , 81 , 816 , 10.07 ,,,
6/23/14,Pink Cab,CA,SACRAMENTO CA, 78 , 168 ," 2,478 ", 14.75 ,,,
6/23/14,Pink Cab,CA,SAN DIEGO CA, 639 ," 1,242 "," 14,019 ", 11.29 ,,,
6/23/14,Pink Cab,CA,SAN FRANCISCO CA," 1,968 "," 4,401 "," 49,398 ", 11.22 ,,,
6/23/14,Pink Cab,WA,SEATTLE WA, 159 , 321 ," 3,885 ", 12.10 ,,,
6/23/14,Pink Cab,CA,SILICON VALLEY, 180 , 294 ," 3,453 ", 11.74 ,,,
6/23/14,Pink Cab,Total US,Total US," 9,987 "," 20,958 "," 255,432 ", 12.19 ,,,
6/23/14,Pink Cab,AZ,TUCSON AZ, 42 , 78 , 903 , 11.58 ,,,
6/23/14,Pink Cab,DC,WASHINGTON DC, 186 , 390 ," 4,371 ", 11.21 ,,,
6/23/14,Yellow Cab,GA,ATLANTA GA, 325 , 651 ," 10,877 ", 16.71 ,,,
6/23/14,Yellow Cab,TX,AUSTIN TX, 121 , 262 ," 4,138 ", 15.79 ,,,
6/23/14,Yellow Cab,MA,BOSTON MA," 1,072 "," 2,737 "," 38,033 ", 13.90 ,,,
6/23/14,Yellow Cab,IL,CHICAGO IL," 2,405 "," 5,582 "," 83,957 ", 15.04 ,,,
6/23/14,Yellow Cab,TX,DALLAS TX, 318 , 683 ," 13,635 ", 19.96 ,,,
6/23/14,Yellow Cab,CO,DENVER CO, 128 , 265 ," 5,366 ", 20.25 ,,,
6/23/14,Yellow Cab,CA,LOS ANGELES CA," 1,453 "," 3,376 "," 53,969 ", 15.99 ,,,
6/23/14,Yellow Cab,FL,MIAMI FL, 133 , 341 ," 5,619 ", 16.48 ,,,
6/23/14,Yellow Cab,TN,NASHVILLE TN, 55 , 108 ," 1,478 ", 13.69 ,,,
6/23/14,Yellow Cab,NY,NEW YORK NY," 3,624 "," 7,780 "," 203,607 ", 26.17 ,,,
6/23/14,Yellow Cab,CA,ORANGE COUNTY, 115 , 233 ," 4,766 ", 20.46 ,,,
6/23/14,Yellow Cab,AZ,PHOENIX AZ, 57 , 120 ," 2,005 ", 16.71 ,,,
6/23/14,Yellow Cab,PA,PITTSBURGH PA, 28 , 56 ," 1,235 ", 22.05 ,,,
6/23/14,Yellow Cab,CA,SACRAMENTO CA, 43 , 88 ," 1,262 ", 14.34 ,,,
6/23/14,Yellow Cab,CA,SAN DIEGO CA, 607 ," 1,187 "," 17,679 ", 14.89 ,,,
6/23/14,Yellow Cab,CA,SAN FRANCISCO CA," 2,012 "," 5,627 "," 90,877 ", 16.15 ,,,
6/23/14,Yellow Cab,WA,SEATTLE WA, 308 , 647 ," 9,824 ", 15.18 ,,,
6/23/14,Yellow Cab,CA,SILICON VALLEY, 239 , 505 ," 9,846 ", 19.50 ,,,
6/23/14,Yellow Cab,Total US,Total US," 23,164 "," 51,759 "," 929,074 ", 17.95 ,,,
6/23/14,Yellow Cab,AZ,TUCSON AZ, 45 , 108 ," 1,362 ", 12.62 ,,,
6/23/14,Yellow Cab,DC,WASHINGTON DC," 2,061 "," 4,761 "," 69,947 ", 14.69 ,,,
6/30/14,Pink Cab,GA,ATLANTA GA, 102 , 177 ," 2,109 ", 11.92 ,,,
6/30/14,Pink Cab,TX,AUSTIN TX, 117 , 204 ," 2,208 ", 10.82 ,,,
6/30/14,Pink Cab,MA,BOSTON MA, 204 , 420 ," 5,301 ", 12.62 ,,,
6/30/14,Pink Cab,IL,CHICAGO IL, 465 , 948 ," 10,350 ", 10.92 ,,,
6/30/14,Pink Cab,TX,DALLAS TX, 72 , 126 ," 1,224 ", 9.71 ,,,
6/30/14,Pink Cab,CO,DENVER CO, 84 , 150 ," 1,746 ", 11.64 ,,,
6/30/14,Pink Cab,CA,LOS ANGELES CA," 1,188 "," 2,400 "," 29,754 ", 12.40 ,,,
6/30/14,Pink Cab,FL,MIAMI FL, 72 , 147 ," 1,764 ", 12.00 ,,,
6/30/14,Pink Cab,TN,NASHVILLE TN, 87 , 147 ," 1,665 ", 11.33 ,,,
6/30/14,Pink Cab,NY,NEW YORK NY, 474 , 969 ," 12,165 ", 12.55 ,,,
