,imdbID,Gross
0,tt2582802,13092000.0
1,tt0047478,269061.0
2,tt0082971,242374454.0
3,tt0050212,27200000.0
4,tt0848228,623279547.0
5,tt1663202,183635922.0
6,tt0338564,89594.0
7,tt0046268,
8,tt0055630,
9,tt0266543,380838870.0
10,tt0042192,10177.0
11,tt0198781,289907418.0
12,tt1979320,26903709.0
13,tt0405159,100422786.0
14,tt0057115,
15,tt0253474,32519322.0
16,tt0071315,
17,tt0114746,56882000.0
18,tt0363163,5501940.0
19,tt0119217,138339411.0
20,tt1865505,850043.0
21,tt0074896,
22,tt1895587,44988180.0
23,tt0347149,4710455.0
24,tt0021749,
25,tt0119488,64604977.0
26,tt1187043,6523137.0
27,tt0053125,
28,tt0268978,170708996.0
29,tt0112471,5400000.0
30,tt2084970,91121452.0
31,tt1220719,
32,tt0025316,
33,tt2015381,333130696.0
34,tt0118849,925402.0
35,tt0083922,
36,tt0088247,38400000.0
37,tt0468569,533316061.0
38,tt0087843,5300000.0
39,tt0072684,
40,tt2024544,56667870.0
41,tt0074958,
42,tt0325980,305388685.0
43,tt0052618,70000000.0
44,tt0364569,2181290.0
45,tt0081398,45250.0
46,tt0036775,
47,tt0120382,125603360.0
48,tt0110357,422783777.0
49,tt0079470,646124.0
50,tt0071853,1229197.0
51,tt0095765,11990401.0
52,tt0075148,117235247.0
53,tt0978762,
54,tt1255953,6857096.0
55,tt0036868,23650000.0
56,tt0080678,
57,tt0093779,30857814.0
58,tt0108052,96067179.0
59,tt0056592,
60,tt0088763,210609762.0
61,tt0095327,
62,tt0482571,53082743.0
63,tt0053291,25000000.0
64,tt0245712,5383834.0
65,tt0407887,132373442.0
66,tt0044741,55240.0
67,tt1130884,127968405.0
68,tt1201607,380955619.0
69,tt0120586,6712241.0
70,tt0114814,23272306.0
71,tt0046438,
72,tt0107048,70906973.0
73,tt0015864,
74,tt0107207,25010410.0
75,tt0045152,
76,tt2948356,341264012.0
77,tt0167261,340478898.0
78,tt0167260,377019252.0
79,tt0095016,81350242.0
80,tt0046911,
81,tt0172495,187670866.0
82,tt0050986,
83,tt0046912,12562.0
84,tt0091251,
85,tt0993846,116866727.0
86,tt0078748,78900000.0
87,tt2106476,610968.0
88,tt0012349,2500000.0
89,tt0372784,205343774.0
90,tt0101414,218967620.0
91,tt0113247,309811.0
92,tt0107290,356784000.0
93,tt0469494,40218903.0
94,tt0070735,159600000.0
95,tt0032553,
96,tt0032551,
97,tt0052357,3200000.0
98,tt0361748,120523073.0
99,tt0440963,227137090.0
100,tt0435761,414984497.0
101,tt0317248,7563397.0
102,tt1049413,292979556.0
103,tt0060827,
104,tt0266697,70098138.0
105,tt0264464,164435221.0
106,tt0211915,33201661.0
107,tt0031679,
108,tt0080684,290158751.0
109,tt0892769,217387997.0
110,tt0401792,74098862.0
111,tt3659388,228430993.0
112,tt0056172,6000000.0
113,tt0102926,130727000.0
114,tt0053198,
115,tt1853728,162804648.0
116,tt0032138,22202612.0
117,tt2096673,356454367.0
118,tt0050825,
119,tt0042876,
120,tt0083987,
121,tt0245429,10049886.0
122,tt0086190,309125409.0
123,tt1832382,7098492.0
124,tt0044079,
125,tt0041546,
126,tt0180093,3609278.0
127,tt0114369,100125340.0
128,tt0133093,171383253.0
129,tt0091763,137963328.0
130,tt0246578,727883.0
131,tt0167404,293501675.0
132,tt0092067,
133,tt0090605,85200000.0
134,tt0120737,313837577.0
135,tt0120735,3650677.0
136,tt1205489,148085755.0
137,tt1954470,
138,tt1305806,20167424.0
139,tt0083658,27000000.0
140,tt0110413,32346209.0
141,tt0058461,3500000.0
